NeighborhoodUHF,probabilityOfHIV,probabilityOfHIVtoAIDS
All,0.000337,0.20268361581920905
Bayside - Little Neck,2.9e-05,1.0
Bedford Stuyvesant - Crown Heights,0.0006279,0.21428571428571427
Bensonhurst - Bay Ridge,0.00025433333333333335,0.2
Borough Park,0.00019455555555555556,0.27586206896551724
Canarsie - Flatlands,0.00037887500000000003,0.34177215189873417
Central Harlem - Morningside Heights,0.0010017272727272728,0.2748091603053435
Chelsea - Clinton,0.00153,0.13333333333333333
Coney Island - Sheepshead Bay,0.0003543,0.1282051282051282
Crotona - Tremont,0.0008859,0.1826086956521739
Downtown - Heights - Park Slope,0.00037988888888888886,0.18181818181818182
East Flatbush - Flatbush,0.0004215,0.1896551724137931
East Harlem,0.0005214,0.16981132075471697
East New York,0.000636,0.2948717948717949
Flushing - Clearview,0.000189875,0.21739130434782608
Fordham - Bronx Park,0.0005338461538461538,0.14782608695652175
Fresh Meadows,0.00024380000000000002,0.16666666666666666
Gramercy Park - Murray Hill,0.0007516666666666668,0.175
Greenpoint,0.000632,0.18518518518518517
Greenwich Village - SoHo,0.0012369999999999998,0.22580645161290322
High Bridge - Morrisania,0.00074225,0.23478260869565218
Hunts Point - Mott Haven,0.000653111111111111,0.17277486910994763
Jamaica,0.0002500909090909091,0.23943661971830985
Kingsbridge - Riverdale,0.00025355555555555553,0.3333333333333333
Long Island City - Astoria,0.0005317272727272727,0.20253164556962025
Lower Manhattan,0.0007078999999999999,0.3125
Northeast Bronx,0.00039010000000000005,0.23636363636363636
Pelham - Throgs Neck,0.00033563636363636364,0.2235294117647059
Port Richmond,0.0005114444444444444,0.18181818181818182
Ridgewood - Forest Hills,0.00039029999999999995,0.297029702970297
Rockaway,0.00040125,0.09375
South Beach - Tottenville,0.00015333333333333334,0.3333333333333333
Southeast Queens,0.00018650000000000003,0.20588235294117646
Southwest Queens,0.00022918181818181818,0.13333333333333333
Stapleton - St. George,0.00032700000000000003,0.2
Sunset Park,0.0005122222222222222,0.11764705882352941
Union Square - Lower Eastside,0.0006609090909090909,0.21839080459770116
Upper Eastside,0.0004265833333333334,0.21951219512195122
Upper Westside,0.0003713333333333333,0.17307692307692307
Washington Heights - Inwood,0.0007006666666666666,0.17037037037037037
West Queens,0.0002858,0.2620689655172414
Williamsburg - Bushwick,0.0006169,0.24299065420560748
Willowbrook,0.00021675,0.0
