neighborhood,hvi
Southeast Bronx,1
Port Richmond,3
Flatbush,5
Southern Brooklyn,5
Central Brooklyn,5
East New York and New Lots,4
Stapleton and St. George,3
Lower East Side,2
Bronx Park and Fordham,5
Hunts Point and Mott Haven,5
Southeast Bronx,4
Central Bronx,5
East Harlem,5
East New York and New Lots,5
Lower East Side,3
Northwest Brooklyn,2
Bushwick and Williamsburg,4
Southern Brooklyn,4
Northwest Queens,4
High Bridge and Morrisania,5
Northwest Queens,3
Canarsie and Flatlands,5
Inwood and Washington Heights,1
Southern Brooklyn,3
Lower Manhattan,2
Port Richmond,4
Canarsie and Flatlands,3
North Queens,4
Inwood and Washington Heights,2
Northeast Bronx,5
Stapleton and St. George,2
East Harlem,4
Northwest Brooklyn,4
Central Harlem,5
Bronx Park and Fordham,4
West Queens,3
Kingsbridge and Riverdale,1
Canarsie and Flatlands,2
Greenwich Village and Soho,2
Rockaways,5
Borough Park,4
Greenpoint,3
Central Queens,2
West Queens,4
Northeast Bronx,3
Inwood and Washington Heights,4
Rockaways,4
Sunset Park,3
Upper West Side,2
Southwest Brooklyn,4
Inwood and Washington Heights,3
North Queens,3
Borough Park,3
Northeast Bronx,4
Jamaica,3
Upper West Side,1
Sunset Park,4
Southeast Bronx,5
Southeast Queens,4
Central Brooklyn,4
Jamaica,4
Southwest Queens,3
West Central Queens,2
Southwest Brooklyn,3
South Shore,1
Chelsea and Clinton,1
West Central Queens,1
West Central Queens,3
Jamaica,5
Southwest Queens,4
Southwest Queens,2
Southeast Queens,3
Central Brooklyn,2
Northeast Queens,2
Central Queens,1
Northeast Queens,1
Upper East Side,1
Chelsea and Clinton,2
Gramercy Park and Murray Hill,2
South Shore,2
Upper East Side,2
Northwest Brooklyn,1
Gramercy Park and Murray Hill,1
Greenwich Village and Soho,1
Rockaways,2
Lower Manhattan,1
