Zip,Location Code,Overall_Rating
10009,M015,U
10003,M019,P
10002,M020,WD
10009,M034,P
10009,M063,P
10009,M064,WD
10002,M110,P
10002,M134,WD
10002,M140,P
10002,M142,P
10002,M184,P
10002,M188,P
10002,M292,P
10003,M301,P
10009,M315,U
10002,M332,P
10009,M361,P
10009,M363,P
10009,M364,WD
10002,M378,WD
10002,M448,P
10009,M450,WD
10002,M458,D
10002,M509,U
10002,M515,P
10002,M539,U
10002,M650,P
10002,M696,WD
10009,M839,WD
10038,M001,WD
10002,M002,WD
10014,M003,WD
10028,M006,P
10011,M011,WD
10001,M033,WD
10003,M040,WD
10011,M041,WD
10002,M042,WD
10010,M047,P
10036,M051,WD
10019,M059,WD
10128,M077,WD
10282,M089,WD
10010,M104,P
10019,M111,P
10128,M114,WD
10016,M116,WD
10002,M124,WD
10038,M126,P
10013,M130,WD
10002,M131,WD
10013,M150,WD
10128,M151,P
10075,M158,WD
10021,M167,WD
10065,M183,P
10128,M198,P
10036,M212,WD
10044,M217,U
10065,M225,P
10007,M234,P
10003,M255,WD
10003,M260,U
10065,M267,WD
10280,M276,P
10019,M288,P
10282,M289,P
10028,M290,WD
10002,M294,WD
10019,M296,P
10002,M298,P
10019,M300,P
10019,M303,P
10002,M305,P
10002,M308,P
10011,M312,P
10011,M313,P
10004,M316,P
10010,M347,WD
10003,M374,P
10013,M376,WD
10011,M392,P
10019,M393,P
10002,M394,P
10038,M397,P
10003,M399,P
10019,M400,WD
10003,M407,WD
10036,M408,P
10010,M411,P
10011,M412,P
10010,M413,WD
10011,M414,P
10021,M416,P
10004,M418,P
10011,M419,P
10003,M420,P
10011,M422,P
10006,M425,P
10016,M427,D
10016,M432,P
10011,M437,D
10003,M438,P
10010,M439,WD
10003,M442,P
10065,M449,WD
10065,M459,P
10282,M475,P
10006,M489,WD
10016,M500,P
10019,M507,WD
10065,M519,WD
10038,M520,P
10036,M529,P
10036,M531,P
10019,M542,P
10002,M543,P
10019,M544,P
10002,M545,WD
10011,M550,P
10004,M551,D
10014,M560,WD
10065,M565,WD
10001,M570,P
10003,M575,WD
10004,M580,P
10003,M586,P
10011,M600,WD
10011,M605,P
10013,M615,U
10019,M630,P
10128,M655,P
10004,M896,P
10024,M009,WD
10025,M054,P
10025,M075,P
10027,M076,U
10025,M084,P
10024,M087,P
10025,M145,P
10026,M149,P
10025,M163,WD
10025,M165,P
10024,M166,WD
10027,M180,WD
10026,M185,WD
10023,M191,WD
10023,M199,WD
10026,M208,P
10026,M241,P
10027,M242,WD
10024,M243,WD
10024,M245,WD
10024,M247,WD
10025,M250,WD
10025,M256,P
10025,M258,P
10023,M299,P
10023,M307,P
10025,M333,P
10024,M334,WD
10024,M402,P
10024,M403,D
10024,M404,D
10026,M415,P
10024,M417,P
10025,M421,WD
10023,M452,P
10036,M479,WD
10023,M485,WD
10023,M492,P
10023,M494,P
10025,M505,P
10023,M541,P
10023,M859,WD
10026,M860,P
10025,M862,WD
10035,M007,P
10029,M012,P
10035,M037,P
10029,M038,P
10029,M050,U
10029,M057,P
10029,M072,P
10029,M083,WD
10035,M096,P
10029,M102,P
10029,M108,WD
10035,M112,WD
10029,M146,P
10035,M155,WD
10029,M171,WD
10029,M182,WD
10035,M206,P
10029,M224,P
10029,M372,WD
10029,M375,P
10035,M377,WD
10035,M406,P
10035,M409,P
10029,M435,P
10029,M495,P
10029,M497,P
10029,M555,P
10029,M610,WD
10029,M680,U
10029,M825,U
10029,M964,P
10035,M030,P
10027,M036,P
10039,M046,WD
10030,M092,P
10030,M123,WD
10027,M125,P
10027,M129,P
10037,M133,WD
10027,M154,P
10027,M161,P
10030,M175,WD
10030,M194,P
10037,M197,WD
10039,M200,P
10035,M285,P
10027,M286,U
10030,M302,P
10030,M304,P
10039,M318,P
10027,M362,WD
10027,M367,P
10027,M369,P
10039,M499,WD
10027,M514,D
10027,M517,P
10030,M670,P
10031,M692,P
10032,M004,P
10034,M005,WD
10032,M008,P
10034,M018,P
10032,M028,WD
10033,M048,P
10034,M052,P
10034,M098,P
10033,M115,P
10032,M128,P
10033,M132,P
10033,M143,P
10040,M152,P
10031,M153,WD
10033,M173,P
10040,M178,WD
10040,M187,WD
10040,M189,P
10031,M192,P
10031,M210,P
10040,M218,P
10027,M223,P
10034,M278,P
10040,M293,P
10034,M311,WD
10034,M314,P
10032,M319,WD
10040,M322,P
10032,M324,P
10032,M328,WD
10032,M346,P
10033,M348,P
10033,M349,P
10034,M366,P
10031,M368,P
10034,M423,P
10040,M462,WD
10040,M463,WD
10040,M467,WD
10040,M468,WD
10033,M528,WD
10031,M540,P
10032,M552,P
10451,X001,U
10455,X005,WD
10451,X018,WD
10455,X025,P
10451,X029,P
10454,X030,P
10451,X031,P
10454,X043,P
10454,X049,P
10454,X065,U
10451,X151,P
10454,X154,P
10456,X157,P
10455,X161,WD
10454,X179,WD
10454,X221,P
10454,X223,P
10454,X224,U
10455,X277,P
10456,X296,P
10456,X298,P
10454,X334,P
10454,X343,P
10454,X369,UPF
10456,X379,UPF
10451,X381,P
10451,X427,WD
10455,X473,P
10455,X495,WD
10455,X500,P
10451,X522,P
10451,X527,P
10451,X547,P
10451,X548,P
10451,X551,WD
10451,X600,P
10451,X670,P
10461,X014,P
10472,X036,WD
10474,X048,WD
10455,X062,P
10473,X069,WD
10461,X071,WD
10465,X072,U
10459,X075,P
10473,X093,U
10473,X100,WD
10465,X101,WD
10473,X107,U
10472,X119,WD
10472,X123,P
10472,X125,U
10455,X130,WD
10473,X131,P
10473,X138,P
10456,X140,WD
10456,X146,P
10472,X152,WD
10473,X182,WD
10459,X269,U
10473,X282,P
10461,X293,P
10456,X301,P
10455,X302,WD
10465,X304,WD
10473,X312,P
10459,X332,P
10459,X333,WD
10472,X337,P
10473,X367,P
10465,X371,WD
10473,X375,P
10473,X376,P
10473,X377,UPF
10461,X405,P
10474,X424,WD
10473,X432,P
10473,X448,D
10473,X452,U
10465,X467,D
10473,X519,P
10459,X530,U
10473,X537,WD
10457,X004,P
10452,X011,P
10456,X022,P
10457,X028,P
10451,X035,P
10457,X042,WD
10456,X053,P
10456,X055,P
10457,X058,P
10456,X063,P
10457,X070,P
10452,X073,P
10456,X088,P
10453,X109,P
10456,X110,P
10452,X114,P
10453,X117,U
10452,X126,P
10456,X128,P
10456,X132,U
10457,X163,P
10452,X170,WD
10452,X199,P
10453,X204,P
10456,X215,P
10452,X218,P
10456,X219,P
10457,X227,P
10453,X229,P
10457,X231,P
10453,X232,P
10453,X236,P
10457,X241,WD
10456,X250,P
10457,X252,P
10456,X260,WD
10457,X263,P
10456,X297,P
10453,X303,P
10457,X313,U
10456,X323,P
10456,X324,U
10456,X325,P
10452,X327,P
10456,X328,U
10457,X329,U
10457,X339,U
10453,X365,P
10456,X403,P
10456,X404,U
10457,X412,P
10457,X413,WD
10456,X443,D
10456,X449,P
10456,X454,P
10456,X457,P
10451,X505,P
10456,X517,P
10457,X525,P
10456,X543,P
10457,X003,P
10463,X007,P
10458,X008,WD
10458,X009,P
10453,X015,P
10467,X020,WD
10457,X023,WD
10463,X024,WD
10458,X032,WD
10468,X033,P
10463,X037,P
10458,X045,P
10458,X046,P
10457,X051,P
10458,X054,U
10467,X056,P
10457,X059,P
10467,X080,U
10471,X081,WD
10458,X085,P
10468,X086,WD
10453,X091,P
10467,X094,U
10463,X095,WD
10457,X118,P
10463,X141,P
10458,X159,P
10458,X205,WD
10468,X206,P
10463,X207,P
10458,X209,WD
10463,X213,P
10457,X225,P
10453,X226,P
10458,X228,P
10463,X237,P
10458,X243,P
10463,X244,P
10468,X246,U
10458,X254,P
10468,X268,P
10453,X279,P
10467,X280,WD
10463,X284,P
10453,X291,P
10453,X306,WD
10468,X307,P
10467,X308,P
10463,X310,P
10468,X315,P
10457,X319,P
10453,X331,P
10468,X340,WD
10468,X342,P
10463,X344,P
10463,X360,P
10468,X363,D
10463,X368,WD
10458,X374,WD
10453,X382,P
10453,X386,P
10453,X390,P
10457,X391,U
10453,X396,P
10463,X397,WD
10468,X433,U
10458,X434,P
10458,X437,P
10458,X438,U
10458,X439,P
10468,X440,P
10468,X442,P
10468,X445,WD
10453,X447,P
10468,X459,P
10463,X477,WD
10458,X524,D
10463,X546,P
10468,X549,P
10468,X696,P
10470,X016,WD
10470,X019,WD
10466,X021,P
10467,X041,P
10466,X068,WD
10469,X076,WD
10469,X078,P
10462,X083,WD
10466,X087,P
10469,X089,WD
10467,X096,P
10469,X097,P
10466,X103,P
10462,X105,WD
10462,X106,WD
10461,X108,WD
10466,X111,WD
10466,X112,P
10469,X121,WD
10462,X127,U
10469,X144,P
10475,X153,WD
10475,X160,P
10466,X169,P
10464,X175,P
10475,X178,WD
10475,X180,P
10475,X181,P
10475,X189,P
10462,X194,WD
10475,X249,P
10467,X253,P
10467,X265,P
10466,X270,P
10467,X275,P
10467,X287,P
10469,X288,WD
10467,X290,P
10469,X299,P
10467,X326,U
10467,X370,P
10462,X418,P
10475,X455,P
10475,X462,D
10467,X468,P
10462,X498,P
10469,X508,P
10469,X509,D
10466,X513,WD
10466,X514,WD
10466,X529,P
10466,X532,P
10469,X542,WD
10467,X544,P
10467,X545,P
10460,X006,P
10457,X044,WD
10472,X047,WD
10457,X057,WD
10460,X061,U
10460,X066,P
10460,X067,WD
10457,X092,WD
10460,X098,P
10460,X129,P
10459,X134,P
10459,X150,P
10460,X190,P
10472,X195,P
10472,X196,WD
10457,X211,P
10456,X212,WD
10460,X214,P
10459,X217,WD
10472,X242,P
10459,X248,P
10460,X251,U
10456,X267,WD
10460,X271,P
10457,X273,P
10460,X286,U
10457,X300,P
10460,X316,P
10457,X318,P
10459,X321,P
10457,X341,U
10460,X372,P
10460,X383,WD
10459,X384,P
10472,X388,WD
10459,X446,D
10456,X463,D
10472,X478,WD
10456,X479,D
10459,X480,P
10460,X511,P
10472,X521,P
10460,X531,D
10460,X536,P
10472,X550,P
10460,X682,WD
10460,X684,P
10460,X691,P
11216,K003,P
11201,K008,P
11238,K009,P
11238,K011,P
11205,K020,P
11221,K044,P
11205,K046,U
11205,K054,U
11238,K056,P
11205,K067,P
11216,K093,P
11205,K113,P
11217,K133,U
11216,K256,P
11205,K265,P
11217,K266,P
11205,K270,P
11217,K282,WD
11201,K287,P
11216,K301,P
11216,K305,U
11201,K307,P
11201,K313,P
11201,K350,P
11205,K412,P
11201,K419,U
11217,K430,P
11201,K439,WD
11201,K483,P
11205,K492,P
11238,K499,WD
11201,K527,P
11216,K553,P
11216,K575,P
11216,K595,WD
11201,K605,P
11205,K616,P
11205,K670,WD
11201,K674,P
11205,K691,P
